country,Cogeneration,Nuclear,Coal,Petcoke,Other,Waste,Wind,Hydro,Oil,Gas,Biomass,Wave_and_Tidal,Geothermal,Solar,Total
Albania,0,0,0,0,0,0,0,4724,0,0,0,0,0,0,4724
Algeria,0,0,0,0,0,0,0,254,1163,62825,0,0,0,0,64242
Angola,0,0,0,0,0,0,0,5041,4439,0,0,0,0,0,9480
Argentina,0,5756,4038,0,0,0,730,41348,19540,67378,2780,0,0,16,141586
Armenia,0,2465,0,0,0,0,4,1992,0,3289,0,0,0,0,7750
Australia,0,0,151849,0,0,0,10252,18421,5013,54394,3511,0,1,4858,248299
Austria,0,0,4912,0,13,975,3846,44828,609,5401,4052,0,0,785,65421
Azerbaijan,0,0,0,0,0,174,2,1300,39,23210,0,0,0,3,24728
Bahrain,0,0,0,0,0,0,0,0,7,27246,0,0,0,0,27253
Bangladesh,0,0,1100,0,0,0,4,588,8209,45799,0,0,0,145,55845
Belarus,0,0,26,0,0,37,11,121,379,34042,118,0,0,1,34735
Belgium,0,33703,4402,0,399,2083,4614,1507,217,19292,3588,0,0,2883,72688
Benin,0,0,0,0,0,0,0,0,183,0,1,0,0,0,184
Bolivia,0,0,0,0,0,0,8,2251,175,6128,187,0,0,6,8755
Bosnia and Herzegovina,0,0,10151,0,0,0,0,5935,44,30,0,0,0,0,16160
Botswana,0,0,2263,0,0,0,0,0,99,0,0,0,0,1,2363
Brazil,0,15378,26754,0,361,0,12208,373439,35423,81075,45994,0,0,0,590632
Brunei Darussalam,0,0,0,0,0,0,0,0,43,4461,0,0,0,2,4506
Bulgaria,0,15867,21305,0,14,0,1331,5163,211,2142,200,0,0,1252,47485
Cambodia,0,0,863,0,0,0,0,1852,327,0,14,0,0,3,3059
Cameroon,0,0,0,0,0,0,0,5068,886,896,72,0,0,0,6922
Canada,0,107678,64718,0,2261,265,22538,382574,7974,61355,5090,16,0,1756,656225
Chile,0,0,26006,0,291,0,1443,23099,4584,12480,5327,0,0,489,73719
China,0,132538,4115215,0,0,12956,156078,1064337,9517,114505,44437,8,125,29229,5678945
Colombia,0,0,7136,0,0,0,58,49713,165,10705,2143,0,0,0,69920
Congo,0,0,0,0,0,0,0,952,0,788,0,0,0,0,1740
Costa Rica,0,0,0,0,0,0,735,6717,1043,0,181,0,1538,3,10217
Cote DIvoire,0,0,0,0,0,0,0,1913,508,5795,70,0,0,0,8286
Croatia,0,0,2368,0,0,0,730,9125,129,1002,165,0,0,35,13554
Cuba,0,0,0,0,0,0,17,104,15794,2794,637,0,0,20,19366
Cyprus,0,0,0,0,0,0,182,0,4033,0,51,0,0,84,4350
Democratic Republic of the Congo,0,0,0,0,0,0,0,8820,4,7,0,0,0,0,8831
Denmark,0,0,11064,0,0,1609,13079,15,317,2096,3407,0,0,596,32183
Dominican Republic,0,0,2476,0,0,0,608,1584,9642,3993,32,0,0,238,18573
Ecuador,0,0,0,0,0,0,80,11458,9111,3243,399,0,0,16,24307
Egypt,0,0,0,0,0,0,1315,13979,21029,135177,0,0,0,247,171747
El Salvador,0,0,0,0,0,0,0,1718,2508,0,439,0,1558,0,6223
Eritrea,0,0,0,0,0,0,0,0,368,0,0,0,0,2,370
Estonia,0,0,10872,0,0,73,604,27,43,69,758,0,0,0,12446
Ethiopia,0,0,0,0,0,0,392,9195,9,0,0,0,19,0,9615
Finland,0,23580,11818,0,290,819,1107,13397,235,5521,11318,0,0,8,68093
France,0,436474,12014,0,553,3812,17249,68626,1806,12738,3114,481,0,5909,562776
Gabon,0,0,0,0,0,0,0,795,639,921,10,0,0,2,2367
Georgia,0,0,0,0,0,0,0,8335,0,2036,0,0,0,0,10371
Germany,0,97129,284911,0,2023,13503,57357,25444,5659,62270,43345,0,98,36056,627795
Ghana,0,0,0,0,0,0,0,8387,2213,2359,0,0,0,4,12963
Gibraltar,0,0,0,0,0,0,0,0,198,0,0,0,0,0,198
Greece,0,0,25746,0,0,100,3689,4607,5544,6776,220,0,0,3792,50474
Guatemala,0,0,1855,0,0,0,0,4848,1512,0,2256,0,247,7,10725
Haiti,0,0,0,0,0,0,0,90,943,0,0,0,0,0,1033
Honduras,0,0,41,0,0,0,398,2602,4474,0,523,0,0,0,8038
Hong Kong,0,0,30401,0,0,0,2,0,231,9171,96,0,0,1,39902
Hungary,0,15649,6114,0,55,255,657,302,73,4225,1985,0,0,56,29371
Iceland,0,0,0,0,0,0,8,12873,3,0,0,0,5238,0,18122
India,0,36102,966520,0,0,1536,37155,131643,22696,62929,23908,0,0,4909,1287398
Indonesia,0,0,120332,0,0,32,0,15148,25782,56287,925,0,10038,11,228555
Iran,0,4472,530,0,0,0,358,13862,59493,195847,47,0,0,0,274609
